id_article,nom_article,catégorie,prix,description,ingrédients
101,Soupe à l'Oignon,Entrées,7.50,"Soupe traditionnelle aux oignons caramélisés, gratinée au fromage comté","Oignons, bouillon de bœuf, comté, pain baguette"
102,Salade Niçoise,Entrées,9.00,"Salade méditerranéenne avec thon, olives, œufs, et haricots verts","Thon, olives noires, œufs, tomates, vinaigrette"
103,Tartare de Saumon,Entrées,12.00,"Saumon frais coupé au couteau, citron, aneth, et capres","Saumon, aneth, citron, capres, toast"
104,Quiche Lorraine,Entrées,8.50,"Tarte salée avec lardons, œufs, et crème fraîche","Lardons, œufs, crème, pâte brisée"
105,Terrine de Campagne,Entrées,8.00,"Terrine de porc et foie de volaille, cornichons, et pain de seigle","Porc, foie de volaille, épices"
201,Burger Bistrot,Burgers & Sandwichs,15.00,"Pain brioché, steak haché charolais, oignons confits, roquefort","Bœuf, roquefort, oignons, salade"
202,Croque-Monsieur,Burgers & Sandwichs,10.00,"Classique jambon et fromage gratiné","Jambon, emmental, pain de mie, béchamel"
203,Panini Poulet-Ratatouille,Burgers & Sandwichs,12.50,"Poulet grillé, ratatouille maison, et fromage de chèvre","Poulet, courgettes, aubergines, tomates"
204,Coq au Vin,Plats Traditionnels,16.00,"Cuisse de poulet mijotée au vin rouge (sans alcool), champignons","Poulet, carottes, oignons, bouillon"
205,Boeuf Bourguignon,Plats Traditionnels,17.50,"Bœuf mijoté aux carottes et oignons, sauce riche","Bœuf, lardons, champignons, bouillon"
206,Ratatouille Provençale,Plats Traditionnels,13.00,"Légumes du soleil rôtis au thym et à l'huile d'olive","Aubergines, courgettes, poivrons, tomates"
207,Quiche aux Poireaux,Plats Traditionnels,11.00,"Tarte aux poireaux et fromage de chèvre","Poireaux, chèvre, œufs, crème"
208,Daurade Grillée,Plats Traditionnels,18.00,"Filet de daurade, légumes grillés, et sauce vierge","Daurade, citron, courgettes, tomates cerises"
209,Gratin de Légumes,Options Végétariennes,12.00,"Courgettes, aubergines, et tomates gratinées au fromage","Légumes de saison, béchamel, emmental"
210,Galette de Lentilles,Options Végétariennes,11.50,"Galette de lentilles corail, sauce yaourt-citron","Lentilles, carottes, oignons, épices"
301,Frites Maison,Accompagnements,5.00,"Coupées à la main, sel de Guérande","Pommes de terre, huile d’arachide"
302,Gratin Dauphinois,Accompagnements,6.50,"Pommes de terre, crème fraîche, et noix de muscade","Pommes de terre, crème, muscade"
303,Légumes Rôtis,Accompagnements,5.50,"Courgettes, carottes, et poivrons rôtis à l'huile d'olive","Courgettes, carottes, poivrons, huile d'olive"
304,Purée de Céleri-Rave,Accompagnements,4.50,"Purée onctueuse au céleri-rave et crème fraîche","Céleri-rave, crème, beurre"
305,Quinoa aux Herbes,Accompagnements,5.00,"Quinoa, persil, coriandre, et tomates séchées","Quinoa, persil, coriandre, tomates"
401,Café Allongé,Boissons Chaudes,3.00,"Café filtre servi dans une grande tasse","Café arabica"
402,Thé à la Menthe Fraîche,Boissons Chaudes,4.00,"Thé vert à la menthe fraîche et miel","Thé vert, menthe, miel"
403,Chocolat Viennois,Boissons Chaudes,5.50,"Chocolat chaud épais avec chantilly et copeaux de chocolat","Chocolat noir, crème, sucre"
404,Infusion Verveine-Citron,Boissons Chaudes,4.00,"Verveine et zeste de citron bio","Verveine, citron"
405,Café Noisette,Boissons Chaudes,3.50,"Expresso avec une touche de lait mousseux","Café, lait"
501,Jus d'Orange Pressé,Boissons Froides,5.00,"Pressé quotidiennement","Oranges fraîches"
502,Limonade Maison,Boissons Froides,4.50,"Citron, sucre de canne, et eau gazeuse","Citron, sucre, eau"
503,Eau Infusée (Citron/Gingembre),Boissons Froides,3.50,"Eau fraîche infusée au citron et gingembre","Citron, gingembre, eau"
504,Smoothie Tropical,Boissons Froides,6.00,"Mangue, ananas, et banane mixés avec yaourt nature","Mangue, ananas, banane, yaourt"
601,Crème Brûlée,Desserts,6.50,"Crème vanille caramélisée à la torche","Crème fraîche, vanille, sucre, œufs"
602,Tarte Tatin,Desserts,7.00,"Tarte renversée aux pommes caramélisées","Pommes, sucre, pâte feuilletée"
603,Mousse au Chocolat Noir,Desserts,6.00,"Mousse 70% cacao, chantilly légère","Chocolat noir, œufs, crème"
604,Île Flottante,Desserts,6.50,"Meringue légère sur crème anglaise vanillée","Œufs, lait, vanille"
605,Salade de Fruits Frais,Desserts,5.50,"Fruits de saison coupés au couteau (melon, fraises, kiwi)","Melon, fraises, kiwi"
606,Sorbet Citron/Framboise,Desserts,5.00,"Sorbet artisanal au choix","Citron ou framboise, eau, sucre"
